name,type1,type2,atk,satk,def,sdef,total_stat,phy_0,phy_1,phy_2,phy_3,phy_4,phy_5,phy_6,phy_7,phy_8,phy_9,phy_10,phy_11,phy_12,phy_13,phy_14,phy_15,phy_16,phy_17,sta_0,sta_1,sta_2,sta_3,sta_4,sta_5,sta_6,sta_7,sta_8,sta_9,sta_10,sta_11,sta_12,sta_13,sta_14,sta_15,sta_16,sta_17,spe_0,spe_1,spe_2,spe_3,spe_4,spe_5,spe_6,spe_7,spe_8,spe_9,spe_10,spe_11,spe_12,spe_13,spe_14,spe_15,spe_16,spe_17
ekans,2,-1,60,40,44,54,288,16,0,0,5,4,2,2,0,1,1,1,2,0,1,0,1,10,0,17,0,0,4,0,0,0,2,0,1,1,0,0,1,1,0,3,0,5,0,0,6,3,0,1,0,0,0,0,2,0,0,0,0,2,0
arbok,2,-1,95,65,69,79,448,17,0,0,5,5,2,2,0,1,1,1,2,1,1,1,3,9,0,17,0,0,4,0,0,0,2,0,1,1,0,0,1,1,0,3,0,6,0,0,6,3,0,1,0,0,0,0,2,0,0,0,0,2,0
pikachu,11,-1,55,50,40,50,320,21,10,0,0,1,1,0,0,1,0,0,1,5,0,0,0,3,1,18,1,0,1,0,0,0,1,0,0,1,0,5,5,0,0,2,2,7,0,0,0,1,0,1,0,0,0,1,1,11,0,0,0,0,3
raichu,11,-1,90,90,55,80,485,23,9,0,0,1,1,0,0,1,0,0,1,4,0,0,0,4,1,19,1,0,1,0,0,0,1,0,0,1,0,5,6,0,0,1,2,8,1,0,0,1,0,1,0,0,0,1,1,11,0,0,0,0,3
sandshrew,3,-1,75,20,85,30,300,26,8,1,2,8,5,3,1,4,0,0,0,0,0,0,0,5,0,14,1,0,1,3,2,0,1,0,1,0,0,0,3,0,0,1,0,5,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
sandslash,3,-1,100,45,110,55,450,26,8,1,3,9,5,4,1,4,0,0,0,0,0,0,0,5,0,14,1,0,1,2,2,0,1,0,1,0,0,0,3,0,0,1,0,6,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
nidoran-f,2,-1,47,40,52,40,275,19,3,1,4,1,0,0,1,1,0,0,0,0,0,0,0,5,0,17,1,0,3,0,0,0,1,0,1,1,0,0,2,0,0,2,1,4,0,0,2,2,0,0,0,0,0,1,0,3,0,2,0,0,0
nidorina,2,-1,62,55,67,55,365,19,3,1,3,2,0,0,1,1,0,0,0,0,0,0,0,4,0,15,1,0,3,0,0,0,1,0,1,1,0,0,2,0,0,2,1,4,0,0,2,2,0,0,0,0,0,3,0,3,0,2,0,0,0
nidoqueen,2,3,92,75,87,85,505,25,11,1,2,8,5,1,1,1,1,1,0,1,0,2,2,6,0,17,1,0,3,0,2,0,1,0,1,1,0,0,2,0,0,5,1,6,1,0,3,4,0,0,2,0,3,5,0,3,0,3,1,0,0
nidoran-m,2,-1,57,40,40,40,273,21,3,1,3,2,1,0,1,2,0,0,0,0,0,0,0,3,0,16,1,0,3,0,0,0,1,0,1,1,0,0,3,0,0,2,0,4,0,0,2,2,0,0,0,0,0,1,0,3,1,2,0,0,0
nidorino,2,-1,72,55,57,55,365,19,3,1,2,3,0,0,1,2,0,0,0,0,0,0,0,3,0,14,1,0,3,0,0,0,1,0,1,1,0,0,3,0,0,2,0,4,0,0,2,2,0,0,0,0,0,3,0,3,0,2,0,0,0
nidoking,2,3,102,85,77,75,505,26,11,1,2,8,5,2,1,2,1,1,0,1,0,2,2,5,0,16,1,0,3,0,2,0,1,0,1,1,0,0,3,0,0,5,0,6,1,0,3,4,0,0,2,0,3,5,0,3,0,3,1,0,0
clefairy,16,-1,45,60,48,65,323,22,10,2,0,1,1,0,0,2,1,0,0,1,1,1,0,3,1,34,1,0,1,0,1,0,2,0,1,2,0,1,18,0,0,2,4,9,0,0,0,1,1,1,2,0,4,4,3,5,6,3,0,0,6
clefable,16,-1,70,95,73,90,483,23,9,2,0,1,1,0,0,2,1,0,0,1,1,1,0,3,1,33,1,0,1,0,1,0,2,0,1,2,0,1,18,0,0,2,4,10,1,0,0,1,1,1,2,0,4,4,3,5,7,3,0,0,6
vulpix,8,-1,41,50,40,65,299,17,0,0,0,1,0,0,0,1,2,0,0,0,1,0,0,3,0,20,0,0,1,0,0,0,4,0,2,0,0,0,8,0,0,2,2,6,0,0,0,0,0,0,2,0,11,0,1,0,1,0,0,2,0
ninetales,8,-1,76,81,75,100,505,18,0,0,0,1,0,0,0,1,2,0,0,0,1,0,0,2,0,21,0,0,1,0,0,0,4,0,2,0,0,0,9,0,0,3,2,7,0,0,0,1,0,0,4,0,10,0,2,0,4,0,0,2,0
jigglypuff,-1,16,45,45,20,25,270,22,10,1,0,1,1,0,0,2,1,0,1,2,1,2,0,3,1,29,1,0,1,0,2,0,2,0,1,1,0,1,12,0,0,4,3,10,0,0,0,1,0,0,1,0,3,4,4,5,6,3,0,1,5
wigglytuff,-1,16,70,85,45,50,435,23,9,1,0,1,1,0,0,2,1,0,1,2,1,2,0,3,1,30,1,0,1,0,2,0,2,0,1,1,0,1,13,0,0,4,3,11,1,0,0,1,0,0,1,0,3,4,4,5,7,3,0,1,5
zubat,1,2,45,30,35,40,245,12,0,7,1,0,0,2,1,1,0,0,0,0,1,0,0,7,0,13,2,3,2,0,0,0,2,0,1,1,0,0,3,1,0,4,0,6,0,3,2,0,0,0,2,0,1,0,3,0,0,0,1,0,0
golbat,1,2,80,65,70,75,455,13,0,7,1,0,0,2,1,1,0,0,0,0,1,0,0,5,0,14,2,3,2,0,0,0,2,0,1,1,0,0,2,1,0,4,0,7,0,2,2,0,0,0,2,0,1,0,3,0,0,0,1,0,0
oddish,2,10,50,75,55,65,320,12,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,20,0,0,3,0,0,0,1,0,1,0,8,0,2,0,0,0,2,4,0,0,4,0,0,1,0,0,0,0,9,0,0,0,0,0,2
gloom,2,10,65,85,70,75,395,12,1,0,0,0,0,0,0,0,0,0,6,0,0,0,0,1,0,20,0,0,3,0,0,0,1,0,1,0,8,0,2,0,0,0,2,4,0,0,4,0,0,2,0,0,0,0,9,0,0,0,0,0,2
vileplume,2,10,80,110,85,90,490,14,1,0,0,0,0,0,0,0,0,0,7,0,0,0,0,1,0,20,0,0,4,0,0,0,1,0,1,0,9,0,2,0,0,0,2,6,0,0,5,0,0,2,0,0,0,0,9,0,0,0,0,0,2
paras,5,10,70,45,55,55,285,18,3,1,1,1,0,5,0,1,0,0,2,0,0,0,0,3,0,17,0,0,2,1,1,2,1,0,1,0,8,0,4,0,0,1,0,3,0,0,2,0,0,1,0,0,0,0,6,0,1,0,0,0,0
parasect,5,10,95,60,80,80,405,18,3,1,1,1,0,4,0,0,0,0,2,0,0,0,0,3,0,17,0,0,2,0,0,2,1,0,1,0,7,0,3,0,0,1,0,4,0,0,2,0,0,1,0,0,0,0,6,0,0,0,0,0,0
venonat,2,5,55,40,50,55,305,12,0,0,1,0,0,5,0,0,0,0,0,0,1,0,0,1,0,18,0,0,3,0,0,2,2,0,1,0,2,0,4,0,0,0,0,5,0,0,3,0,0,4,1,0,0,0,4,0,5,0,0,0,0
venomoth,2,5,65,90,60,75,450,13,0,2,1,0,0,6,0,0,0,0,0,0,1,0,0,1,0,18,0,3,3,0,0,2,2,0,1,0,2,0,5,0,0,0,0,7,0,3,4,0,0,5,2,0,0,0,4,0,6,0,1,0,0
diglett,3,-1,55,35,25,45,265,16,2,1,0,7,5,0,2,0,0,0,0,0,0,0,0,8,0,15,0,0,1,1,2,0,1,0,1,0,0,0,3,0,0,2,1,6,1,0,1,5,1,0,0,0,0,0,0,0,0,0,0,0,0
dugtrio,3,-1,100,50,50,70,425,17,2,1,0,8,5,0,2,0,0,0,0,0,0,0,0,7,0,14,0,0,1,2,2,0,1,0,1,0,0,0,3,0,0,1,1,8,0,0,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0
meowth,-1,-1,45,40,35,40,290,25,0,1,1,1,0,1,1,2,0,0,2,0,0,0,0,11,1,21,1,0,1,0,0,0,3,0,1,1,0,1,4,0,0,6,1,8,0,0,0,1,1,0,1,0,0,4,0,4,1,1,0,2,0
persian,-1,-1,70,65,60,65,440,25,0,1,1,1,0,2,1,2,0,0,2,0,0,0,0,10,1,19,1,0,1,0,0,0,3,0,1,1,0,1,4,0,0,8,1,9,0,0,0,1,1,0,1,0,0,4,0,4,1,1,0,2,0
psyduck,9,-1,52,65,48,50,320,19,11,1,0,1,0,0,1,1,0,5,1,0,1,1,0,3,0,22,0,0,1,0,0,0,2,0,0,3,1,0,9,2,0,3,0,5,1,0,1,3,0,1,0,0,0,10,0,0,7,3,0,0,0
golduck,9,-1,82,95,78,80,500,21,10,1,0,1,0,1,1,1,0,6,1,0,1,1,0,3,0,21,0,0,1,0,0,0,2,0,0,3,1,0,8,2,0,3,0,6,2,0,0,2,1,1,0,0,0,10,1,0,6,3,0,0,0
mankey,0,-1,80,35,35,45,305,24,16,2,2,4,4,1,1,1,1,0,1,1,0,1,2,11,0,21,2,0,1,0,0,0,2,0,1,1,0,0,3,0,0,2,0,6,3,0,0,1,0,0,0,0,1,0,0,2,0,0,0,0,0
primeape,0,-1,105,60,60,70,455,24,15,2,2,4,4,1,2,1,1,0,1,1,0,1,2,8,0,20,2,0,1,0,1,0,2,0,1,1,0,0,2,0,0,2,0,7,3,0,0,1,0,0,0,0,1,0,0,2,0,0,0,0,0
growlithe,8,-1,70,70,45,50,350,16,4,1,0,1,0,0,0,1,6,0,0,2,1,0,1,3,1,18,0,0,1,0,0,0,1,0,2,0,0,0,3,0,0,0,1,5,0,0,0,1,0,0,0,0,9,0,0,0,0,0,2,1,0
arcanine,8,-1,110,100,80,80,555,18,4,1,0,2,0,0,0,2,6,0,0,2,1,0,1,3,1,18,0,0,1,0,0,0,1,0,2,0,0,0,4,0,0,0,1,7,0,0,0,2,0,0,0,0,8,0,1,0,0,0,3,1,0
poliwag,9,-1,50,40,40,40,300,15,3,0,0,2,0,0,0,0,0,3,0,0,0,1,0,1,0,17,0,0,1,0,0,0,1,0,0,2,0,0,3,3,0,0,0,6,0,0,0,4,0,0,0,0,0,10,0,0,2,3,0,0,0
poliwhirl,9,-1,65,50,65,50,385,18,10,0,0,4,0,0,0,0,0,3,0,0,0,1,0,2,0,17,1,0,1,0,0,0,1,0,0,2,0,0,3,3,0,0,0,6,0,0,0,4,0,0,0,0,0,10,0,0,2,3,0,0,0
poliwrath,0,9,95,70,95,90,510,20,16,0,1,5,2,0,0,0,0,3,0,0,0,1,1,6,0,21,3,0,1,0,0,0,1,0,0,1,0,0,3,3,0,1,0,7,2,0,0,3,0,0,0,0,0,10,0,0,2,3,0,0,0
abra,12,-1,20,105,15,55,310,14,6,0,0,0,0,0,0,1,1,0,0,1,1,1,0,4,0,16,0,0,1,0,0,0,2,0,1,1,0,1,23,0,0,4,0,5,0,0,0,0,0,1,1,0,0,0,2,3,5,0,0,0,1
kadabra,12,-1,35,120,30,70,400,14,6,0,0,1,0,0,0,1,1,0,0,1,2,1,0,4,0,18,0,0,1,0,0,0,2,0,1,1,0,1,21,0,0,4,0,5,0,0,0,0,0,1,2,0,0,0,2,3,8,0,0,0,1
alakazam,12,-1,50,135,45,95,500,15,6,0,0,1,0,0,0,1,1,0,0,1,2,1,0,4,0,19,0,0,1,0,0,0,2,0,1,1,0,1,23,0,0,5,0,6,1,0,0,0,0,1,2,0,0,0,2,3,9,0,0,0,1
machop,0,-1,80,35,50,35,305,18,19,0,1,4,3,0,0,2,1,0,0,1,0,1,1,4,0,19,4,0,1,0,0,0,1,0,1,1,0,0,5,0,0,0,0,3,2,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0
machoke,0,-1,100,50,70,60,405,17,18,0,1,5,3,0,0,1,1,0,0,1,0,1,1,4,0,18,3,0,1,0,0,0,1,0,1,1,0,0,3,0,0,0,0,3,2,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0
machamp,0,-1,130,65,80,85,505,18,18,0,2,6,5,0,0,1,1,0,0,1,0,1,1,7,0,18,3,0,1,0,1,0,1,0,1,1,0,0,3,0,0,0,0,4,2,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0
bellsprout,2,10,75,70,35,30,300,14,0,0,1,0,0,3,0,0,0,0,7,0,0,0,0,3,0,17,0,0,3,0,0,0,1,0,1,0,7,0,2,0,0,0,0,6,0,0,7,0,0,1,0,0,0,0,7,0,0,0,0,0,0
weepinbell,2,10,90,85,50,45,390,15,0,0,1,0,0,4,0,0,0,0,7,0,0,0,0,3,0,17,0,0,3,0,0,0,1,0,1,0,7,0,2,0,0,0,0,7,0,0,6,0,0,1,0,0,0,0,7,0,0,0,0,0,0
victreebel,2,10,105,100,65,70,490,16,0,0,1,0,0,4,0,0,0,0,8,0,0,0,0,3,0,20,0,0,3,0,0,0,1,0,1,0,7,0,2,0,0,0,0,8,0,0,6,0,0,1,0,0,0,0,8,0,0,0,0,0,0
tentacool,2,9,40,50,35,100,335,16,0,0,4,0,0,1,0,0,0,4,0,0,0,0,0,5,0,16,0,0,3,0,0,0,2,0,0,2,0,0,4,2,0,0,0,6,0,0,5,1,0,1,1,0,0,11,2,0,1,4,0,0,1
tentacruel,2,9,70,80,65,120,515,17,0,0,4,0,0,2,0,0,0,4,0,0,0,0,0,5,0,18,0,0,5,0,0,0,2,0,0,2,0,0,4,2,0,0,0,8,0,0,5,1,0,1,1,0,0,10,2,0,1,4,0,0,1
geodude,3,4,80,30,100,30,300,18,10,0,0,7,7,0,0,1,1,0,0,1,0,0,0,2,0,16,0,0,1,2,4,0,1,2,1,0,0,0,1,0,0,0,0,4,0,0,0,3,1,0,0,0,3,0,0,0,0,0,0,0,0
graveler,3,4,95,45,115,45,390,18,11,0,0,7,7,0,0,4,1,0,0,1,0,0,0,2,0,16,0,0,1,2,4,0,1,1,1,0,0,0,1,0,0,0,0,4,1,0,0,3,1,0,0,0,3,0,0,0,0,0,0,0,0
golem,3,4,120,55,130,65,495,20,11,0,0,7,7,2,0,4,1,0,0,1,0,0,0,2,0,17,0,0,1,2,4,0,1,1,1,0,0,0,1,0,0,0,0,5,1,0,0,3,1,0,0,0,3,0,0,0,0,0,0,0,0
ponyta,8,-1,85,65,55,65,410,18,2,1,0,1,0,0,0,1,3,0,1,1,0,0,0,0,1,13,0,0,1,0,0,0,1,0,2,0,0,0,5,0,0,0,1,5,0,0,0,0,0,0,0,0,9,0,1,0,0,0,0,0,0
rapidash,8,-1,100,80,70,80,500,20,2,1,1,2,0,1,0,2,3,0,1,1,0,0,0,1,1,14,0,0,1,0,0,0,1,0,2,0,0,0,5,0,0,0,1,6,0,0,0,1,0,0,0,0,9,0,1,0,0,0,0,0,0
slowpoke,9,12,65,40,65,40,315,16,0,0,0,4,0,0,0,1,0,4,0,0,1,1,0,1,0,23,0,0,1,1,0,0,2,0,1,1,0,1,15,2,0,0,0,8,0,0,1,2,0,1,1,0,3,9,1,1,9,3,0,0,0
slowbro,9,12,75,100,110,80,490,19,9,1,0,4,0,1,0,1,0,5,0,0,1,2,0,2,0,22,0,0,1,0,0,0,2,1,1,2,0,1,15,2,0,1,0,9,1,0,0,2,0,1,1,0,3,10,1,1,10,3,0,0,0
magnemite,7,11,35,95,70,55,325,12,0,0,0,0,1,0,0,4,0,0,0,2,0,0,0,0,0,15,0,0,1,0,1,0,2,2,1,1,0,5,6,0,0,0,0,6,0,0,0,0,0,1,0,3,0,0,0,11,0,0,0,0,0
magneton,7,11,60,120,95,70,465,13,0,0,0,0,1,0,0,4,0,0,0,2,0,0,0,0,0,15,0,0,1,0,1,0,2,2,1,1,0,5,6,0,0,0,0,8,0,0,0,0,0,1,0,3,0,0,0,11,0,0,0,0,0
farfetchd,-1,1,90,58,55,62,377,22,2,8,1,0,0,3,0,2,0,0,3,0,0,0,0,5,0,21,1,5,1,1,0,0,1,0,1,0,0,0,3,0,0,0,0,7,1,3,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0
doduo,-1,1,85,35,45,35,310,18,2,9,0,0,0,1,0,1,0,0,0,0,0,0,0,6,0,19,0,4,1,0,0,0,1,0,1,1,0,0,3,1,0,0,0,8,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
dodrio,-1,1,110,60,70,60,470,19,2,9,0,2,0,2,0,1,0,0,1,0,0,0,0,6,0,20,0,4,1,0,0,0,1,0,1,1,0,0,3,0,0,2,0,9,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
seel,9,-1,45,45,55,70,325,17,0,1,0,1,0,1,1,2,0,5,0,0,0,5,0,2,0,19,0,0,1,0,0,0,1,0,0,3,0,0,1,3,0,0,1,8,0,0,1,0,0,1,0,0,0,9,0,0,0,4,0,0,0
dewgong,9,13,70,70,80,95,475,18,0,0,0,1,0,1,1,2,0,6,0,0,0,5,0,3,1,19,0,0,1,0,0,0,1,0,0,2,0,0,1,3,0,0,1,9,0,0,1,0,0,1,0,0,0,9,0,0,0,6,0,0,1
grimer,2,-1,80,40,50,50,325,14,3,0,2,1,2,0,3,0,1,0,0,1,1,1,0,3,0,21,0,0,3,0,1,0,2,0,1,1,0,0,2,1,0,3,0,5,0,0,7,3,0,1,2,0,3,0,2,4,0,0,0,0,0
muk,2,-1,105,65,75,100,500,15,6,0,2,1,2,1,0,0,1,0,0,1,1,1,0,5,0,19,0,0,5,0,1,0,3,0,1,1,0,0,2,1,0,3,0,6,1,0,7,3,0,1,2,0,3,0,2,4,0,0,0,1,1
shellder,9,-1,65,45,100,25,305,14,0,0,0,0,1,1,0,0,0,5,0,0,0,4,0,1,0,15,0,0,2,1,0,0,1,1,0,4,0,0,4,2,0,0,0,6,0,0,0,1,0,0,0,0,0,8,0,0,0,4,0,0,0
cloyster,9,13,95,85,180,45,525,16,0,0,1,1,1,2,0,2,0,5,0,0,0,5,0,1,0,16,0,0,2,1,0,0,1,1,0,2,0,0,5,2,0,1,0,8,0,0,0,1,0,1,0,0,0,8,0,0,0,5,0,0,0
gastly,2,6,35,100,30,35,310,10,0,0,2,0,0,1,3,0,1,0,0,1,0,1,0,5,0,17,0,0,3,0,0,0,6,0,2,1,0,0,9,1,0,5,0,5,0,0,6,0,0,1,4,0,0,0,3,3,3,1,0,1,1
haunter,2,6,50,115,45,55,405,10,0,0,2,0,0,1,5,0,1,0,0,1,0,1,0,6,0,16,0,0,4,0,0,0,5,0,2,1,0,0,9,1,0,5,0,5,1,0,5,0,0,1,4,0,0,0,3,3,3,1,0,1,1
gengar,2,6,65,130,60,75,500,18,9,0,2,0,0,1,5,0,1,0,0,1,0,1,0,6,0,20,0,0,4,0,0,0,5,0,2,1,0,1,10,1,0,5,0,6,1,0,5,0,0,1,4,0,0,0,3,3,4,1,0,1,1
onix,3,4,45,30,160,45,385,20,2,0,0,8,8,0,0,4,0,0,0,0,0,0,2,2,0,18,0,0,1,2,4,0,1,0,1,0,0,0,1,0,1,2,0,3,0,0,0,3,2,0,0,1,0,0,0,0,0,0,3,0,0
drowzee,12,-1,48,43,45,90,328,16,11,0,0,0,0,0,0,0,1,0,1,1,2,1,0,4,0,20,0,0,2,0,0,0,2,0,1,1,0,1,20,1,0,5,0,6,1,0,0,0,0,1,2,0,0,0,1,1,11,0,0,0,2
hypno,12,-1,73,73,70,115,483,17,12,0,0,0,0,0,0,0,1,0,1,1,1,1,0,4,0,21,0,0,2,0,0,0,3,0,1,1,0,1,18,1,0,5,0,7,1,0,0,0,0,1,3,0,0,0,1,1,11,0,0,0,2
krabby,9,-1,105,25,90,25,325,21,4,0,0,1,2,2,0,1,0,4,0,0,0,0,0,4,0,14,0,0,1,1,0,0,1,1,0,1,0,0,4,2,0,1,0,3,0,0,0,2,1,0,0,0,0,8,0,0,0,3,0,0,0
kingler,9,-1,130,50,115,50,475,20,4,0,0,3,2,2,0,1,0,4,0,0,0,0,0,4,0,13,0,0,1,1,1,0,1,1,0,1,0,0,4,1,0,2,0,4,0,0,0,2,1,0,0,0,0,9,0,0,0,3,0,0,0
voltorb,11,-1,30,55,50,55,330,13,0,0,0,0,1,0,0,1,0,0,0,2,0,0,0,3,0,12,0,0,1,0,0,0,1,1,0,1,0,5,6,0,0,2,0,6,0,0,0,0,0,1,0,0,0,0,0,10,1,0,0,0,0
electrode,11,-1,50,80,70,80,490,15,0,0,0,0,1,0,0,1,0,0,0,3,0,0,0,3,0,12,0,0,1,0,0,0,1,1,0,1,0,6,7,0,0,2,0,7,0,0,0,0,0,1,0,0,0,0,0,10,1,0,0,0,0
exeggcute,10,12,40,60,80,45,325,15,0,0,0,0,1,0,0,0,0,0,3,0,1,0,0,1,0,18,0,0,2,0,0,0,2,0,1,0,7,0,12,0,0,0,1,5,0,0,1,0,1,1,0,0,0,0,7,0,9,0,0,0,0
exeggutor,10,12,95,125,85,75,530,18,1,0,0,3,1,0,0,0,0,0,5,0,2,0,0,1,0,16,0,0,1,0,0,0,2,0,1,0,5,0,14,0,0,0,0,7,0,0,1,0,1,1,0,0,0,0,8,0,11,0,0,0,0
cubone,3,-1,50,40,95,50,320,21,10,1,0,8,3,1,0,2,1,0,0,1,0,0,0,4,0,18,1,0,1,0,2,0,1,1,1,0,0,0,1,0,0,0,0,6,0,0,0,3,1,0,0,0,3,2,0,0,0,3,0,0,0
marowak,3,-1,80,50,110,80,425,21,9,1,0,8,4,1,0,2,1,0,0,1,0,0,1,5,0,17,1,0,1,0,2,0,1,1,1,0,0,0,1,0,0,0,0,7,1,0,0,3,0,0,0,0,3,2,0,0,0,3,0,0,0
